Camera_ID,Date,Time,Mask_count,No_mask_count,Social_distancing_violations
C001,2021-06-15,21:36:08,3,5,7
C001,2021-06-15,21:42:12,2,12,4
C001,2021-06-16,21:44:47,3,6,7
C001,2021-06-16,21:44:57,7,5,5
C001,2021-06-17,21:45:11,8,4,6
C001,2021-06-17,21:46:01,6,5,3
C001,2021-06-18,21:53:29,7,4,4
C001,2021-06-18,10:25:07,12,11,11
C001,2021-06-19,10:25:17,3,6,5
C001,2021-06-19,10:25:29,6,3,6
C001,2021-06-20,10:25:39,8,4,4
C001,2021-06-20,10:38:09,7,6,5
C001,2021-06-21,10:38:19,6,5,7
C001,2021-06-21,10:38:29,4,4,8
C001,2021-06-21,10:52:49,7,6,8
C001,2021-06-21,10:52:57,8,8,5
C002,2021-06-21,11:52:57,4,6,3
C002,2021-06-21,13:52:00,5,4,5
C002,2021-06-21,16:18:50,0,1,0
C001,2021-06-21,21:29:46,0,1,0
C001,2021-06-21,21:35:49,0,2,2
C001,2021-06-21,21:38:03,0,2,2
C001,2021-06-21,21:45:20,0,1,0
C001,2021-06-21,21:45:33,0,1,0
C001,2021-06-21,21:46:38,0,2,2
C001,2021-06-21,21:46:52,0,2,2
C001,2021-06-21,21:55:14,0,1,0
C001,2021-06-21,21:58:09,0,1,0
